time,speed,target_speed,throttle,brake,steer,energy,curvature
137,3.1039593,2.9992589950561523,0.17716246843338013,0.0,-0.32323129429387265,0.03138654022140841,0.06333992192575744
138,3.087451,2.9992589950561523,0.20958799123764038,0.0,-0.31374027439173313,0.04392712607102922,0.06333992192575744
139,3.062241,2.9992589950561523,0.24318453669548035,0.0,-0.2907922235269152,0.05913871888779543,0.06333992192575744
140,3.0629487,2.9992589950561523,0.21624094247817993,0.0,-0.25964832071265764,0.04676014520385152,0.06333992192575744
141,3.0842798,2.9992589950561523,0.1738613247871399,0.0,-0.22980308687840917,0.030227760256739344,0.06333992192575744
142,3.094659,2.9992589950561523,0.1739567518234253,0.0,-0.20219091203770295,0.03026095150495678,0.06333992192575744
143,3.106409,2.9992589950561523,0.1603003442287445,0.0,-0.17792113638091658,0.025696200359853982,0.06333992192575744
144,3.1063108,2.9992589950561523,0.1717115342617035,0.0,-0.15592334339413116,0.029484850998508172,0.06333992192575744
145,3.1091313,2.9992589950561523,0.1654229760169983,0.0,-0.13689678854534176,0.027364760994320392,0.06333992192575744
146,3.1047637,2.9992589950561523,0.17645111680030823,0.0,-0.11966448152413166,0.031134996620076016,0.06333992192575744
147,3.1046398,2.9992589950561523,0.17180457711219788,0.0,-0.1049284762926109,0.029516812716701146,0.06333992192575744
148,3.1002417,2.9992589950561523,0.17997190356254578,0.0,-0.09152827722666351,0.03238988607192628,0.06333992192575744
149,3.0999238,2.9992589950561523,0.17570608854293823,0.0,-0.08019318480431911,0.03087262955105885,0.06333992192575744
150,3.0967104,2.9992589950561523,0.18132781982421875,0.0,-0.06980307598431526,0.03287977824220434,0.06333992192575744
151,3.0967698,3.757453203201294,1.0,0.0,-0.28217147202520293,1.0,0.043469934550905545
152,3.092506,3.757453203201294,0.9514051675796509,0.0,-0.2726596827920971,0.9051717928972636,0.043469934550905545
153,3.1331341,3.757453203201294,0.8690065145492554,0.0,-0.24993025998477303,0.7551723223290452,0.043469934550905545
154,3.2750578,3.757453203201294,0.6281993389129639,0.0,-0.2211815976154076,0.39463440941068484,0.043469934550905545
155,3.4748075,3.757453203201294,0.37203681468963623,0.0,-0.19321987342106067,0.13841139148441073,0.043469934550905545
156,3.64925,3.757453203201294,0.22344249486923218,0.0,-0.1666736060568898,0.04992654851338685,0.043469934550905545
157,3.7698417,3.7660417556762695,0.1738598346710205,0.0,-0.14269769236301555,0.030227242111834585,0.043469934550905545
158,3.8323305,3.7660417556762695,0.16055390238761902,0.0,-0.12111813040110028,0.025777555571893096,0.043469934550905545
159,3.8645077,3.7596917152404785,0.14546409249305725,0.0,-0.10256381619564779,0.021159802204828715,0.043469934550905545
160,3.8695738,3.7596917152404785,0.17330962419509888,0.0,-0.08633255165534555,0.030036225838646402,0.043469934550905545
